keep(Y/N),bn_term,en_APPROVED(fix me),en_candidate,freq,type(crop/disease/pest/chemical/fertilizer/weed/symptom)
,রোগ,disease,disease,186,
,পোকা,worm,worm,173,
,আগাছা,weeds,weeds,107,
,অভাব,deficiencies,deficiencies,103,
,দাগ,stains,stains,78,
,কীটনাশক,pesticides,pesticides,67,
,সার,fertilizer,fertilizer,65,
,কুশি,Cushy.,Cushy.,62,
,আগাছা দমন,weeding,weeding,37,
,ঘাস,grass,grass,38,
,অভাবজনিত,deficiencies,deficiencies,37,
,শীষ,ears,ears,35,
,পোকামাকড়,insects,insects,25,
,অভাব দেখা,be in need,be in need,22,
,কীটনাশক প্রয়োগ,pesticides,pesticides,21,
,আগাছানাশক,weeds,weeds,23,
,মাজ পোকা,caterpillar,caterpillar,20,
,অভাবজনিত লক্ষণ,deficiencies,deficiencies,20,
,বালাইনাশক,pesticides,pesticides,22,
,পোকা আক্রমণ,insect attack,insect attack,19,
,সারি,row,row,21,
,অভাব ধান,shortage of rice,shortage of rice,18,
,ছত্রাক,fungus,fungus,20,
,অভাব ধান গাছ,deficiency rice plant,deficiency rice plant,17,
,বাদামি দাগ,browns,browns,16,
,রোগী,patient,patient,18,
,অভাব দেখা যায়,deficiencies,deficiencies,15,
,রোগবালাই,diseases,diseases,17,
,ইউরিয়া সার,urea fertilizer,urea fertilizer,14,
,রোগ দেখা,diagnose,diagnose,14,
,রোগ কারণ,disease cause,disease cause,13,
,অনুমোদিত কীটনাশক,approved insecticides,approved insecticides,12,
,কীটনাশক পরিশিষ্ট,Insecticide Appendix,Insecticide Appendix,12,
,রোগ বাহক,disease carrier,disease carrier,12,
,আগাছা দমন যায়,Weeds can be controlled,Weeds can be controlled,12,
,অনুমোদিত কীটনাশক পরিশিষ্ট,Authorized Insecticide Appendix,Authorized Insecticide Appendix,11,
,কীটনাশক পরিশিষ্ট ব্যবহা,Insecticide Appendix,Insecticide Appendix,11,
,পোকা দমন,insect control,insect control,11,
,পামরি পোকা,pumpkin,pumpkin,10,
,কুশি সংখ্যা,Kushi number,Kushi number,10,
,ডবিস্নওপিআগাছা পাতা,dobbies,dobbies,10,
,ছত্রাকনাশক,fungicides,fungicides,12,
,কুশি গজানো,sprout,sprout,9,
,জাতীয় আগাছা,weed,weed,9,
,গন্ধক অভাব,sulphur deficiency,sulphur deficiency,9,
,পাতা ঘাস,leaf grass,leaf grass,9,
,কাজঅভাব কারণছবি,due to lack of work,due to lack of work,9,
,লেদা পোকা,leafworm,leafworm,8,
,গান্ধি পোকা,Gandhi worm,Gandhi worm,8,
,পোকা কীড়া,worm-worm,worm-worm,8,
,দাগ দেখা,mark,mark,8,
,ধান রোগ,rice disease,rice disease,8,
,রোগ লক্ষণ,symptoms,symptoms,8,
,কারণ ছত্রাক,mold,mold,8,
,রোগ কারণ ছত্রাক,Fungus causes disease,Fungus causes disease,8,
,রোগ মাত্,disease,disease,8,
,দাগ হয়,stains,stains,8,
,অভাব হল,deficiencies,deficiencies,8,
,আগাছা দমন বইয়,weeding,weeding,8,
,আগাছানাশক প্রয়োগ,weeding,weeding,8,
,সার কাযর্কারিতা,fertility,fertility,8,
,গ্রামঘাস,grass,grass,10,
,ডবিস্নওপিআগাছা,dobbies,dobbies,10,
,কাজঅভাব,shortage of work,shortage of work,10,
,পোকা ধান,worm rice,worm rice,7,
,কুশি অবস্থায়,in crutches,in crutches,7,
,রোগ মাত্ বাড়,increase in illness,increase in illness,7,
,রোগ কাত,disease-stricken,disease-stricken,7,
,রোগ কাত জাত,disease-tailed,disease-tailed,7,
,দস্তমা অভাব,lack of gold,lack of gold,7,
,সেজ জাতীয় আগাছা,weed,weed,7,
,পোকামাকড় রোগবালাই,Insect diseases,Insect diseases,7,
,ডায়াবেটিক রোগী,diabetes patient,diabetes patient,7,
,দানাদা কীটনাশক,granular insecticide,granular insecticide,7,
,ছাত পোকা,cloudworm,cloudworm,6,
,পোকা সংখ্যা,Number of insects,Number of insects,6,
,দাগ সৃষ্,stained,stained,6,
,দাগ দেখা যায়,stains,stains,6,
,রোগ গাছ,disease plant,disease plant,6,
,রোগ দেখা দিল,disease arose,disease arose,6,
